School ID,School Name,Network ,SQRP Total Points Earned,SY 2017-2018 SQRP Rating,SY 2017-2018 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400068,PLATO,Contract,2.1,Level 2,Intensive Support,29,98,2,17.5,18,99,2,17.5,40.9,99,2,10,30,98,3,1.25,,,,,,,,,7,100,1,1.25,18,99,2,1.25,,,,,,,,,3,100,1,1.25,17,98,2,5,9,99,1,5,10,98,2,2.5,4,98,1,2.5,93.5,2,20,Partially Organized,2,10,99,5,5
400069,POLARIS,Charter,3.7,Level 1,Not Applicable,68,100,3,17.5,61,100,3,17.5,56.5,100,3,10,66,100,4,1.25,,,,,,,,,14,100,2,1.25,61,100,4,1.25,,,,,,,,,50,100,4,1.25,43,100,3,5,48,100,3,5,24,98,2,2.5,36,98,2,2.5,98.4,5,20,Well Organized,5,10,99.7,5,5
400071,PROVIDENCE ENGLEWOOD,Charter,3.4,Level 2+,Not Applicable,83,100,4,17.5,39,100,2,17.5,52.5,100,3,10,82,100,5,1.25,,,,,,,,,99,100,5,1.25,40,100,3,1.25,,,,,,,,,73,100,5,1.25,66,100,3,5,39,100,2,5,55,100,3,2.5,39,100,2,2.5,95.2,4,20,Organized,4,10,99.7,5,5
400075,U OF C - DONOGHUE,Charter,3.4,Level 2+,Not Applicable,27,100,2,18.75,42,100,3,18.75,47.5,100,2,10,27,100,2,1.25,,,,,,,,,,,,,40,100,3,1.25,,,,,,,,,,,,,49,100,3,5,43,100,3,5,34,98,2,2.5,56,99,3,2.5,97,5,20,Well Organized,5,10,100,5,5
400076,U OF C - NKO,Charter,3.2,Level 2+,Not Applicable,34,100,2,18.75,60,100,3,18.75,50.9,100,3,10,36,100,3,1.25,,,,,,,,,,,,,58,100,4,1.25,,,,,,,,,,,,,64,100,3,5,56,100,3,5,67,100,3,2.5,54,100,3,2.5,95.7,4,20,Organized,4,10,99.9,5,5
400078,U OF C - WOODSON,Charter,3,Level 2+,Not Applicable,68,100,3,17.5,27,100,2,17.5,52.3,100,3,10,70,100,5,1.25,,,,,,,,,76,100,5,1.25,25,100,2,1.25,,,,,,,,,3,100,1,1.25,60,100,3,7.5,35,100,2,7.5,,,,,,,,,95.6,4,20,Partially Organized,2,10,99.5,5,5
400079,ACERO - ZIZUMBO,Charter,3.3,Level 1,Not Applicable,60,100,3,17.5,35,100,2,17.5,57,100,3,10,,,,,60,100,4,1.25,88,100,5,1.25,,,,,,,,,35,100,3,1.25,75,100,5,1.25,,,,,86,100,4,5,80,100,4,5,89,100,4,2.5,61,100,3,2.5,96.6,5,20,Not Yet Organized,1,10,99.8,5,5
400080,ACERO - TORRES,Charter,4,Level 1+,Not Applicable,71,100,4,17.5,86,100,4,17.5,67,100,4,10,,,,,71,100,5,1.25,73,100,5,1.25,,,,,,,,,86,100,5,1.25,92,100,5,1.25,,,,,82,100,4,5,80,100,4,5,63,100,3,2.5,46,100,3,2.5,96.5,5,20,Not Yet Organized,1,10,99.9,5,5
400081,ACERO - DE LAS CASAS,Charter,2.5,Level 2+,Not Applicable,13,100,2,17.5,6,100,1,17.5,37.8,100,1,10,,,,,13,100,2,1.25,13,100,2,1.25,,,,,,,,,6,100,1,1.25,14,100,2,1.25,,,,,54,100,3,5,66,100,3,5,80,100,4,2.5,61,100,3,2.5,96.5,5,20,Not Yet Organized,1,10,100,5,5
400082,ACERO - FUENTES,Charter,3.4,Level 2+,Not Applicable,32,100,2,17.5,35,100,2,17.5,50.6,100,3,10,,,,,32,100,3,1.25,2,100,1,1.25,,,,,,,,,35,100,3,1.25,3,100,1,1.25,,,,,72,100,4,5,68,100,3,5,91,100,5,2.5,91,100,5,2.5,96.8,5,20,Organized,4,10,100,5,5
